"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""White: (4, 5)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)"""
1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0,-1,-0.04,-0.04,1,-0.04,1,-0.04,-1,-0.04,-0.04,-0.04,-0.04,1,-0.04,-1,-1,-0.04,-0.04,0,1,0,0,0
4.1155233475288995,3.558021963635496,3.0649077393460464,2.6290529949012256,2.2552528167595023,1.9314789613333223,0.8929424828747525,0.7682597522860941,0.678109042696936,0.6052355724782247,0.6446076157167319,0.645392855967332,0,-2.678018555385468,-1.9954412279668161,-1.5001144494305187,-0.09222421647119883,-0.038968403006255085,4.108757803012571,3.130825571000525,1.460522056374589,1.0179641803365274,0.6906567793685264,0.4379434420199776,0.7874271839973646,2.1154072892526945,2.1547595152344856,0.857090032100503,-0.319250327446272,-0.3146887139197458,-0.003570896265994286,0,4.586208519095616,0,0,0
7.692327499725747,7.291923879197114,6.895163492379843,6.499371474862414,6.104587376936142,5.715552696885675,7.291667872725559,7.024379377043377,6.643120097018071,6.251657687923573,5.864259344721824,5.517791442144881,0,4.6935801673906274,4.593646716199435,4.38664042385125,5.160096971216231,5.265322895014204,7.623135189818238,7.1675076002384985,5.7423979344209926,5.407854195318461,5.087903295890358,4.87483572126177,7.341478568762795,8.014433287824765,7.0957406083674215,5.620801756459288,4.289410590456632,4.609470884004729,6.972583788082742,0,8.34589260447126,0,0,0
11.16903774803546,10.735394549318555,10.311771381604093,9.89865599356069,9.51781879717801,9.151956674170506,10.735394524726674,10.43652045270028,10.034018621461902,9.650648457800335,9.481190662726553,9.193160975433946,0,7.910469134355333,9.54797254125016,9.484175883389694,10.266050677146644,9.075336769392838,11.02065218559309,10.078267790572717,8.491209283416897,8.437844296207683,8.336817453082736,8.759761851633979,10.220609863965173,11.252005164103444,10.653765751127045,9.0870021915031,7.699956416974379,8.412206674697801,9.849174290256808,0,11.957430135743603,0,0,0
14.494768183782806,14.02539631159264,13.576495136976199,13.141503004407632,12.667123132163558,12.234690528733681,14.025396311590276,13.700178482009896,13.351309063810152,12.95580243142111,12.003232144096946,11.84560121202199,0,12.174124692671064,12.86003197855919,11.998706897959828,12.862238832575379,12.462586181843166,14.209481250437978,13.281574638727678,11.903887502870061,11.80881971815332,12.458944813950167,12.206782299054142,13.392931385880653,14.454866096782796,14.08682640416669,12.48030738218314,11.142234133688012,11.836083690320406,12.98365652895648,0,15.426658678249062,0,0,0
17.67568224440238,17.171075264382427,16.687706670212393,16.224116152349854,15.778992070646508,15.228613782868294,17.171075264382427,16.81132770679964,16.43351233371965,16.06506651762214,15.691523213519323,14.083335069272016,0,15.256775386049664,15.96929978175842,15.710363676919403,15.195481821248435,14.7674956928678,17.276701297053936,16.40539499201567,15.121791921240721,14.659613308503731,14.82454723855174,14.501910683949031,16.502312719627007,17.59166665030918,17.38323750992447,15.693139717779573,13.637385222389756,14.138337376100822,16.058644577837832,0,18.75918577395792,0,0,0
20.717739134115433,20.179463450040625,19.662936177525506,19.167419676726883,18.702014554885235,18.258380541879447,20.179463450040625,19.78647214756905,19.376540683695236,18.986868368426986,18.70813736151565,18.393632095885515,0,18.20000454926527,18.89109427080829,18.726856253392032,19.493161463410644,18.990669394587197,20.242916109178456,19.45594638953312,18.347796267379408,18.417487695091154,18.993031098908556,18.608491166255163,19.529493569487418,20.644651904156348,20.567988876573388,18.90902840587186,17.51524587159496,18.157868610817445,19.053214718478994,0,21.960398005312747,0,0,0
23.626990591956123,23.056444377611435,22.50793378016642,21.975385849281984,21.389412518030735,20.826018520895257,23.056444377611435,22.63145298340472,22.184540756781736,21.678132145403325,20.30478898637535,19.798342282776346,0,21.007956013095104,21.582356591620822,20.31811856210335,20.91400780276184,20.441692946325457,23.11695795420717,22.398854716570234,21.26145779616943,19.970811043166062,20.45876735360404,20.13300166203978,22.46724263445997,23.60323891999284,23.60989488180883,21.76094550686326,19.27565152820262,19.731600996596324,21.96002877329657,0,25.035469701915392,0,0,0
26.409205885265244,25.807635046679597,25.228253392094658,24.66906896718954,24.124993548732604,23.56991984319097,25.807635046679597,25.351903628840976,24.878630412843233,24.411940188207275,23.914395524418715,23.229748210577696,0,23.701751293087277,24.316175738471152,23.933322561202832,23.12894210055625,22.736030688919943,25.90118926805664,25.248156778139187,24.218941273853204,23.582308982737512,22.77093420536377,22.37942226438781,25.30528870635141,26.459606420838263,26.549597685612273,24.74052956293656,23.063325940609587,22.097402935049775,24.768747919706826,0,27.989371304135823,0,0,0
29.06993750368126,28.438956623487062,27.83071913688091,27.244424115795976,26.68859623007263,26.146656147632765,28.438956623487062,27.95426050493237,27.45358536444081,26.973598948505224,26.598931157576665,26.110473619049746,0,26.27701399118353,26.877825346168592,26.61766484007017,27.229339631651435,25.830800913454272,28.60665749018862,28.083479401624512,27.048574283901726,26.42433008102048,26.079984215287347,25.45817602472517,28.13531309336132,29.336249234531927,29.38474888359757,27.54768808548011,25.895897568599327,25.442341664092865,27.56451270292027,0,30.826877397161383,0,0,0
31.61451834923523,30.955280858850628,30.318516527582396,29.69851083079125,29.028560372498376,28.408059173491058,30.955280858850628,30.442071292959877,29.90442375084699,29.32420877611548,28.02863101011184,27.72312894489313,0,28.440275247005275,29.19964345332067,28.145804670652236,28.82996728826008,28.257905970090448,31.24606039938114,30.78826525176039,29.760325971573472,29.092594947249346,28.393483104323714,27.9594547769517,30.83647655196361,32.0503649839535,32.10287907080947,30.23348051847893,28.516340810091474,28.027211411799026,30.239581498362956,0,33.55257442847241,0,0,0
34.047967801411154,33.36160917791381,32.69826566316689,32.05663781497426,31.43821544943076,30.804397117332577,33.361609177913806,32.821922074957186,32.26486164877113,31.723360843077014,31.228316624854852,30.40156032902442,0,31.01545428505674,31.620283673615177,31.24634137904911,31.244754290444316,30.68707559435783,33.80177715406097,33.38613594604732,32.36143772873706,31.670763012478,31.151964820524995,30.636311112394942,33.43127103160692,34.65640402752512,34.71332518219622,32.81400576903106,31.08822692619301,30.580805016369684,32.80837458286804,0,36.17086812121863,0,0,0
36.37517637175512,35.66275546087949,34.97062839778549,34.302338277347566,33.66743866069512,33.058148775633086,35.66275546087949,35.09449484480019,34.4885759991768,33.93128430673065,33.488728201828785,33.01432812641865,0,33.45584949456383,33.656515106561656,33.48764676996957,34.109484372878185,33.46496203804927,36.26993089338663,35.88398404727327,34.863496569788,34.152772323604516,33.64711462222038,33.13134953869857,35.92577413773015,37.16055151224586,37.221362341609684,35.294118700106004,33.54528634709443,33.0176739073631,35.27778964316469,0,38.68599059547881,0,0,0
38.60066275963159,37.86371175870948,37.149667906391684,36.456762521027606,35.7222771408969,35.03569688318127,37.86371175870948,37.27338110065949,36.66515787539337,36.064233169663446,34.924231156982,34.5279496562376,0,35.85058309887887,36.011326996216724,35.492869386136505,35.962991973628384,35.30545620362959,38.649706271677466,38.28423227586645,37.26562433838806,36.52471706909508,35.943953340965784,35.36375026087501,38.323086676558255,39.56600445836946,39.63041503289813,37.67501052028369,35.89310092967357,35.329246262798875,37.65107110588214,0,41.102007208914486,0,0,0
40.729079382251214,39.9688019965652,39.23443865221252,38.5231936170625,37.84350898198174,37.118821349078424,39.9688019965652,39.3578847529264,38.75255232894483,38.149691176536294,37.64928906164967,36.52166584593466,0,38.15592515830779,38.31349351303386,37.77249070904544,38.21411602185653,37.50857908384953,40.94158363408725,40.59043318752592,39.573647676860645,38.80906429364561,38.20215455925777,37.59385388140491,40.626525186262185,41.87670578902416,41.94459300479117,39.96275565424371,38.15469393205418,37.56470726961765,39.93143778460184,0,43.4228231278745,0,0,0
42.7646935168343,41.98216749574878,41.228627341255894,40.50039951703289,39.805374958738994,39.1364328140874,41.98216749574879,41.3517633211189,40.75034538317105,40.146864903249536,39.64255491650626,39.10995947712437,0,40.371266355887265,40.52576862551823,39.96450855443781,40.387050885991705,39.70090633168909,43.1470564192041,42.80628797285962,41.79089235659477,41.003754170903605,40.37273910496638,39.74485700748774,42.839752759947416,44.09645892384198,44.167607882873554,42.16042384391094,40.327404619666666,39.71330321203443,42.12250412222733,0,45.65218963957195,0,0,0
44.71156362166738,43.907772236042995,43.13600793480296,42.39173386719628,41.65308300833799,40.930828879707065,43.907772236042995,43.258835307067166,42.6620961924355,42.05868951436162,41.323455757246826,40.65400951595362,0,42.499638407516336,42.650880867628494,42.06897014048521,42.46240300861846,41.70290674052668,45.268237019340276,44.9351300848886,43.92080008729151,43.111853394443784,42.45651026170801,41.799656738207126,44.966103589715715,46.22878492432977,46.30303146421465,44.27148798998501,42.41435747943253,41.775849984415316,44.227573299755115,0,47.793710215536166,0,0,0
